2023 Space Needle,,,,,,
2023-10-2,,,,,,
,,,,,,
,Jordan Alaniz,,M30-39,10:37.3,637.3,
,Ariella Shuster,,F50-59,10:38.0,638,
,Lynda Johnson,,F40-49,10:38.1,638.1,
,Rick Porter 2,,M70-79,10:38.1,638.1,
,Andrew Chrusciel,,M60-69,10:38.2,638.2,
,Rebecca Valdivia,,F50-59,10:38.8,638.8,
,Eric Nyquist,,M30-39,10:38.9,638.9,
,Lori Wilken,,F40-49,10:39.1,639.1,
,Brett Miller,,M30-39,10:39.5,639.5,
,Katia Roelz,,F40-49,10:40.9,640.9,
,Michael Owens,,M30-39,10:41.1,641.1,
,Maggie Ogilvie,,F18-29,10:41.1,641.1,
,Krista Novstrup,,F40-49,10:41.3,641.3,
,Julie Iverson,,F50-59,10:41.4,641.4,
,Anne Krepick,,F40-49,10:41.8,641.8,
,Corey Lewis,,M40-49,10:42.4,642.4,
,Judy Wong,,F70-79,10:43.5,643.5,
,Saskia De Jonge,,F30-39,10:43.6,643.6,
,Michelle Bodey,,F40-49,10:44.0,644,
,Chris Baur,,M40-49,10:44.1,644.1,
,Teo Schneck,,M50-59,10:44.1,644.1,
,Charles Dominick,,M30-39,10:44.5,644.5,
,Gregory Simmons,,M60-69,10:45.4,645.4,
,stanley ng,,M40-49,10:45.6,645.6,
,Leslie Stegeman,,F30-39,10:46.0,646,
,Sage LaTorra,,M30-39,10:46.1,646.1,
,Hannah Wahl,,F18-29,10:46.2,646.2,
,Scott Proctor,,M40-49,10:46.4,646.4,
,Jennifer Hamilton,,F30-39,10:46.6,646.6,
,Clare Kealy,,F40-49,10:46.6,646.6,
,Hope Thompson,,F30-39,10:46.9,646.9,
,Alicia Sato,,F40-49,10:46.9,646.9,
,Eric Engmann,,M40-49,10:47.0,647,
,Ryan Cutshall,,M18-29,10:47.1,647.1,
,Peter Hamilton,,M40-49,10:47.4,647.4,
,EJ Griffin,,F30-39,10:47.8,647.8,
,Bernardo Caldas,,M50-59,10:48.2,648.2,
,Marc Whitten,,M50-59,10:48.3,648.3,
,Laurel Nelson,,F30-39,10:48.5,648.5,
,Casey Hanisko,,F50-59,10:48.8,648.8,
,Sara Toppin,,F40-49,10:49.6,649.6,
,Thomas Topolinski 2,,M60-69,10:50.0,650,
,Tim Heffron,,M70-79,10:50.8,650.8,
,Heather Kelly,,F40-49,10:51.1,651.1,
,Martin Wahl,,M50-59,10:51.2,651.2,
,Dave Grice,,M50-59,10:51.4,651.4,
,Joseph CUSICK,,M18-29,10:51.9,651.9,
,Doug Heimburger,,M40-49,10:52.5,652.5,
,Emily Wolpert,,F30-39,10:52.9,652.9,
,Akiko Yoshii-Johnson,,F50-59,10:53.1,653.1,
,Drew Sternesky,,M30-39,10:53.2,653.2,
,Anne Konchan,,F40-49,10:53.5,653.5,
,Dennis Eng,,M40-49,10:53.9,653.9,
,Rachel Fischer,,F40-49,10:53.9,653.9,
,David Hill,,M40-49,10:54.1,654.1,
,Jaclyn Esparza,,F30-39,10:54.2,654.2,
,Danica Sun,,F30-39,10:54.2,654.2,
,Paula Clements,,F50-59,10:54.5,654.5,
,Rick Boyle,,M60-69,10:54.7,654.7,
,Chantel Hilton,,F50-59,10:55.2,655.2,
,Jenny Lai,,F30-39,10:55.3,655.3,
,Lindsay Roper-Hetland,,F30-39,10:55.6,655.6,
,Maria Hess,,F50-59,10:55.6,655.6,
,Colleen Cameron,,F18-29,10:56.2,656.2,
,Bryan Thorn,,M50-59,10:56.4,656.4,
,David Hsiao,,M40-49,10:56.6,656.6,
,Stacey Irish,,F18-29,10:56.9,656.9,
,AMBER CLAY-BURNS,,F40-49,10:57.8,657.8,
,Jena Thornton,,F50-59,10:57.8,657.8,
,Emily Williamson,,F30-39,10:58.3,658.3,
,Kate Moran,,F18-29,10:58.3,658.3,
,Gilbert Basilio,,M50-59,10:58.4,658.4,
,Vanessa Vanderbrug,,F40-49,10:58.4,658.4,
,Grant Hadlich 4,,M30-39,10:58.5,658.5,
,Emeron Bachhuber,,M50-59,10:59.3,659.3,
,Ashley Wilson,,F30-39,10:59.9,659.9,
,Rai Nelson 9,,F40-49,11:00.1,660.1,
,Jenny Hong,,F30-39,11:00.2,660.2,
,Katia Roelz 2,,F40-49,11:00.6,660.6,
,Jennifer Anderson,,F50-59,11:00.8,660.8,
,Joseph Launceford,,M30-39,11:03.7,663.7,
,Rex Miller,,M50-59,11:04.1,664.1,
,Amy Bowers 2,,F30-39,11:04.5,664.5,
,Matthew Titelbaum,,M40-49,11:04.6,664.6,
,Kelly King French,,F40-49,11:04.6,664.6,
,Anurag Naidu,,M40-49,11:04.8,664.8,
,Ele Watts,,NB30-39,11:05.1,665.1,
,Chris Morgans,,M50-59,11:05.5,665.5,
,Jeremy Green,,M40-49,11:06.4,666.4,
,Grant Hadlich,,Male-Elite,11:06.8,666.8,
,Josh Ford,,M30-39,11:08.3,668.3,
,Victoria Kramer,,F40-49,11:08.8,668.8,
,Jessica Closson,,F50-59,11:09.1,669.1,
,Audrey Quevillon,,F30-39,11:09.2,669.2,
